neuropil,score,synapses
EPA(L),0.5030,151157
EPA(R),0.4945,119211
SIP(R),0.4436,905371
SIP(L),0.4176,895648
GOR(R),0.3610,161093
GOR(L),0.3221,154484
SCL(L),0.2652,789279
FLA(L),0.2432,314826
FLA(R),0.2414,306441
SCL(R),0.2355,820828
ProLN(L),0.2210,1463
VES(R),0.2118,918575
CV-unspecified,0.2044,49335
SMP(R),0.2028,1933773
SMP(L),0.2005,1944843
VES(L),0.1934,936557
ProLN(R),0.1933,265
AbNT(R),0.1824,6459
AbNT(L),0.1803,7280
ICL(R),0.1756,855563
ICL(L),0.1672,933709
LTct,0.1408,1526369
AVLP(L),0.1302,3687778
AVLP(R),0.1300,4203820
CAN(R),0.1297,56608
CentralBrain-unspecified,0.1204,2691028
GNG,0.1080,6928845
CAN(L),0.1067,59298
MesoAN(L),0.1051,493
WTct(UTct-T2)(R),0.0969,1124184
ANm,0.0965,4704055
PVLP(L),0.0964,2529003
CRE(L),0.0942,748849
WTct(UTct-T2)(L),0.0934,1171224
PVLP(R),0.0913,2640497
CRE(R),0.0847,700426
SAD,0.0840,2231574
AOTU(R),0.0803,711037
LAL(L),0.0800,1207139
IntTct,0.0795,1294628
VNC-unspecified,0.0788,995899
AOTU(L),0.0780,660714
LAL(R),0.0778,1076365
LegNp(T1)(R),0.0776,2271505
CvN(R),0.0723,165
LH(R),0.0709,1170259
LegNp(T1)(L),0.0698,2914522
LH(L),0.0666,1016055
MesoAN(R),0.0657,1637
PRW,0.0651,610365
IB,0.0632,840389
SPS(R),0.0620,1133397
SPS(L),0.0611,1137500
CvN(L),0.0609,114
Ov(L),0.0582,1058375
IPS(R),0.0564,651795
IPS(L),0.0554,620831
Ov(R),0.0553,882304
SLP(R),0.0534,2080917
SLP(L),0.0490,1942582
NTct(UTct-T1)(L),0.0479,193646
a'L(R),0.0474,133019
DMetaN(L),0.0460,28424
NTct(UTct-T1)(R),0.0458,169771
DProN(R),0.0445,79
ADMN(R),0.0430,8700
PDMN(R),0.0422,6196
WED(L),0.0422,1029731
DMetaN(R),0.0418,24691
WED(R),0.0412,1099402
HTct(UTct-T3)(R),0.0405,408205
AbN4(R),0.0394,5634
ADMN(L),0.0392,8953
HTct(UTct-T3)(L),0.0388,420051
DProN(L),0.0381,61
gL(L),0.0378,806140
PDMN(L),0.0357,5292
LegNp(T2)(L),0.0356,3658211
PLP(R),0.0355,1930922
LegNp(T2)(R),0.0355,3252843
LegNp(T3)(L),0.0343,3995086
LegNp(T3)(R),0.0335,4141833
LO(L),0.0324,8011472
PLP(L),0.0324,1641377
VProN(L),0.0317,178
LO(R),0.0314,9308007
gL(R),0.0307,749522
a'L(L),0.0269,112291
ME(R),0.0261,19630397
ME(L),0.0260,17391759
AbN2(L),0.0259,137
AbN2(R),0.0246,98
PED(L),0.0246,113840
b'L(R),0.0236,215707
b'L(L),0.0218,280356
PED(R),0.0210,123506
AbN4(L),0.0201,1092
Optic-unspecified(L),0.0199,672834
mVAC(T2)(R),0.0198,168622
AME(L),0.0198,9825
AL(R),0.0193,2627177
AME(R),0.0192,34653
AL(L),0.0188,2339462
ATL(L),0.0183,78831
mVAC(T2)(L),0.0179,178749
Optic-unspecified(R),0.0178,260593
bL(R),0.0178,204506
mVAC(T1)(R),0.0166,89405
AbN1(L),0.0155,88
ATL(R),0.0152,63411
bL(L),0.0151,242346
mVAC(T1)(L),0.0149,118242
AbN1(R),0.0141,102
VProN(R),0.0139,10
MesoLN(L),0.0136,910
AbN3(L),0.0134,168
aL(L),0.0132,247152
MesoLN(R),0.0118,20414
aL(R),0.0116,282921
CA(R),0.0116,368128
CA(L),0.0113,307222
mVAC(T3)(R),0.0104,119150
ProAN(R),0.0102,54
BU(L),0.0099,30353
mVAC(T3)(L),0.0095,98637
BU(R),0.0094,30343
AbN3(R),0.0086,196
PrN(R),0.0079,1
PrN(L),0.0079,21
MetaLN(L),0.0078,2162
MetaLN(R),0.0071,9989
LOP(R),0.0052,4585388
LOP(L),0.0049,3806058
LA(L),0.0048,353117
ProAN(L),0.0044,28
LA(R),0.0043,536685
FB,0.0041,2090195
AB(L),0.0036,3288
AB(R),0.0027,13657
NO,0.0020,240737
PB,0.0017,227712
EB,0.0013,912124
ProCN(L),0.0004,57
ProCN(R),,0
